cz,Name,Incarceration_Rate_rP_gP_pall
cz21202,Redwood Falls,0.0047
cz20500,Boston,0.0046
cz22800,Eau Claire,0.0046
cz27401,Storm Lake,0.0045
cz26302,Carrington,0.0045
cz26902,Little Falls,0.0044
cz28305,Broken Bow,0.0044
cz37903,Mammoth Lakes,0.0044
cz26406,Wolf Point,0.0044
cz26203,Linton,0.0044
cz22002,Iowa Falls,0.0043
cz29201,Hiawatha,0.0043
cz29007,Township 11,0.0043
cz28102,Nebraska City,0.0042
cz28605,Goodland,0.0042
cz29006,Hays,0.0042
cz35202,Gunnison,0.0041
cz27901,Hastings,0.004
cz26410,Dickinson,0.004
cz26003,West Cook UT,0.004
cz21400,St. Cloud,0.0039
cz27301,Spencer,0.0039
cz21002,Houghton,0.0038
cz15600,Wheeling,0.0037
cz21802,Decorah,0.0037
cz27010,Miller,0.0037
cz26412,Williston,0.0035
cz39301,Friday Harbor,0.0035
cz21301,Mankato,0.0034
cz27102,Marshall,0.0034
cz38402,Pullman,0.0034
cz37902,Reno,0.0034
cz36303,Jackson,0.0033
cz26901,Fergus Falls,0.0032
cz27201,Sioux Center,0.0032
cz28607,McCook,0.0032
cz29008,Center,0.0032
cz20401,Providence,0.0031
cz26502,Madison,0.003
cz26202,East Grant UT,0.0028
cz20402,Nantucket,0.0026
cz27002,Ord,0.0026
cz34306,Jordan,0.0024
cz39204,Condon,0.0022
cz34604,Lusk,0.0021
cz26001,Roseau,0.0019
cz28302,Ogallala,0.0019
cz27001,O'Neill,0.0017
cz28604,Colby,0.0017
cz27003,Ainsworth,0.0016
cz30702,Santa Rosa,0.0016
cz26404,Lemmon,0.0015
cz39205,John Day,0.0012
cz26402,Baker,0.0011
cz28603,Phillipsburg,0.001
cz29103,Beloit,0.0009
cz29102,Superior,0.0006
cz29002,Coldwater,0.0006
cz26403,Bowman,0.0006
cz26407,Plentywood,0.0006
cz26411,Sidney,0.0002
cz26401,Ekalaka,0
cz34309,Harlowton,0
cz26405,Scobey,0
cz27604,Murdo,0
